"Opioid Inclusion Table - Finalized by HealthInsight. Revision Date  May 25, 2017",,,,,,,,,,,,,,
Exclude HTPP All,"Exclude HTPP Pill Ct (Measure part 1, part 2)",Exclude PIP All,NDC_Numeric,NDC,Product_Name,Generic_Drug_Name,Master_Form,Class,Drug,LongShortActing,DEAClassCode,Strength_Per_Unit,UOM,MME_Conversion_Factor
,Excl,,63481016160,63481016160,BELBUCA,Buprenorphine,Film,Opioid,Buprenorphine,LA,3,75.00,MCG,0.03
,Excl,,63481020760,63481020760,BELBUCA,Buprenorphine,Film,Opioid,Buprenorphine,LA,3,150.00,MCG,0.03
,Excl,,63481034860,63481034860,BELBUCA,Buprenorphine,Film,Opioid,Buprenorphine,LA,3,300.00,MCG,0.03
,Excl,,63481051960,63481051960,BELBUCA,Buprenorphine,Film,Opioid,Buprenorphine,LA,3,450.00,MCG,0.03
,Excl,,63481068560,63481068560,BELBUCA,Buprenorphine,Film,Opioid,Buprenorphine,LA,3,600.00,MCG,0.03
,Excl,,63481082060,63481082060,BELBUCA,Buprenorphine,Film,Opioid,Buprenorphine,LA,3,750.00,MCG,0.03
,Excl,,63481095260,63481095260,BELBUCA,Buprenorphine,Film,Opioid,Buprenorphine,LA,3,900.00,MCG,0.03
,Excl,,58284010014,58284010014,PROBUPHINE,Buprenorphine,Implant,Opioid,Buprenorphine,LA,3,,MG,
,Excl,,35356060504,35356060504,BUTRANS,Buprenorphine,"Patch, Extended Release",Opioid,Buprenorphine,LA,3,10.00,MCG/HR,12.6
,Excl,,35356060604,35356060604,BUTRANS,Buprenorphine,"Patch, Extended Release",Opioid,Buprenorphine,LA,3,20.00,MCG/HR,12.6
,Excl,,35356060704,35356060704,BUTRANS,Buprenorphine,"Patch, Extended Release",Opioid,Buprenorphine,LA,3,5.00,MCG/HR,12.6
,Excl,,54569632500,54569632500,BUTRANS,Buprenorphine,"Patch, Extended Release",Opioid,Buprenorphine,LA,3,10.00,MCG/HR,12.6
,Excl,,54569632600,54569632600,BUTRANS,Buprenorphine,"Patch, Extended Release",Opioid,Buprenorphine,LA,3,20.00,MCG/HR,12.6
,Excl,,59011075004,59011075004,BUTRANS,Buprenorphine,"Patch, Extended Release",Opioid,Buprenorphine,LA,3,5.00,MCG/HR,12.6
,Excl,,59011075104,59011075104,BUTRANS,Buprenorphine,"Patch, Extended Release",Opioid,Buprenorphine,LA,3,10.00,MCG/HR,12.6
,Excl,,59011075204,59011075204,BUTRANS,Buprenorphine,"Patch, Extended Release",Opioid,Buprenorphine,LA,3,20.00,MCG/HR,12.6
,Excl,,59011075704,59011075704,BUTRANS,Buprenorphine,"Patch, Extended Release",Opioid,Buprenorphine,LA,3,7.50,MCG/HR,12.6
,Excl,,59011075804,59011075804,BUTRANS,Buprenorphine,"Patch, Extended Release",Opioid,Buprenorphine,LA,3,15.00,MCG/HR,12.6
Excl,,Excl,54017613,00054017613,BUPRENORPHINE HYDROCHLORIDE,Buprenorphine Hydrochloride,Tablet,Opioid,Buprenorphine,LA,3,2.00,MG,30
Excl,,Excl,54017713,00054017713,BUPRENORPHINE HYDROCHLORIDE,Buprenorphine Hydrochloride,Tablet,Opioid,Buprenorphine,LA,3,8.00,MG,30
Excl,,Excl,93537856,00093537856,BUPRENORPHINE HYDROCHLORIDE,Buprenorphine Hydrochloride,Tablet,Opioid,Buprenorphine,LA,3,2.00,MG,30
Excl,,Excl,93537956,00093537956,BUPRENORPHINE HYDROCHLORIDE,Buprenorphine Hydrochloride,Tablet,Opioid,Buprenorphine,LA,3,8.00,MG,30
Excl,,Excl,228315303,00228315303,BUPRENORPHINE HYDROCHLORIDE,Buprenorphine Hydrochloride,Tablet,Opioid,Buprenorphine,LA,3,8.00,MG,30
Excl,,Excl,228315603,00228315603,BUPRENORPHINE HYDROCHLORIDE,Buprenorphine Hydrochloride,Tablet,Opioid,Buprenorphine,LA,3,2.00,MG,30
Excl,,Excl,378092393,00378092393,BUPRENORPHINE HYDROCHLORIDE,Buprenorphine Hydrochloride,Tablet,Opioid,Buprenorphine,LA,3,2.00,MG,30
Excl,,Excl,378092493,00378092493,BUPRENORPHINE HYDROCHLORIDE,Buprenorphine Hydrochloride,Tablet,Opioid,Buprenorphine,LA,3,8.00,MG,30
Excl,,Excl,12496127802,12496127802,SUBUTEX,Buprenorphine Hydrochloride,Tablet,Opioid,Buprenorphine,LA,3,2.00,MG,30
Excl,,Excl,12496131002,12496131002,SUBUTEX,Buprenorphine Hydrochloride,Tablet,Opioid,Buprenorphine,LA,3,8.00,MG,30
Excl,,Excl,35356055530,35356055530,BUPRENORPHINE HYDROCHLORIDE,Buprenorphine Hydrochloride,Tablet,Opioid,Buprenorphine,LA,3,2.00,MG,30
Excl,,Excl,35356055630,35356055630,BUPRENORPHINE HYDROCHLORIDE,Buprenorphine Hydrochloride,Tablet,Opioid,Buprenorphine,LA,3,8.00,MG,30
Excl,,Excl,43063066706,43063066706,BUPRENORPHINE HYDR,Buprenorphine Hydrochloride,Tablet,Opioid,Buprenorphine,LA,3,8.00,MG,30
Excl,,Excl,49999063830,49999063830,SUBUTEX,Buprenorphine Hydrochloride,Tablet,Opioid,Buprenorphine,LA,3,2.00,MG,30
Excl,,Excl,49999063930,49999063930,SUBUTEX,Buprenorphine Hydrochloride,Tablet,Opioid,Buprenorphine,LA,3,8.00,MG,30
Excl,,Excl,50383092493,50383092493,BUPRENORPHINE HYDROCHLORIDE,Buprenorphine Hydrochloride,Tablet,Opioid,Buprenorphine,LA,3,2.00,MG,30
Excl,,Excl,50383093093,50383093093,BUPRENORPHINE HYDROCHLORIDE,Buprenorphine Hydrochloride,Tablet,Opioid,Buprenorphine,LA,3,8.00,MG,30
Excl,,Excl,54569657800,54569657800,BUPRENORPHINE HYDROCHLORIDE,Buprenorphine Hydrochloride,Tablet,Opioid,Buprenorphine,LA,3,8.00,MG,30
Excl,,Excl,55700030230,55700030230,BUPRENORPHINE HYDROCHLORIDE,Buprenorphine Hydrochloride,Tablet,Opioid,Buprenorphine,LA,3,2.00,MG,30
Excl,,Excl,55700030330,55700030330,BUPRENORPHINE HYDROCHLORIDE,Buprenorphine Hydrochloride,Tablet,Opioid,Buprenorphine,LA,3,8.00,MG,30
Excl,,Excl,63629409201,63629409201,SUBUTEX,Buprenorphine Hydrochloride,Tablet,Opioid,Buprenorphine,LA,3,8.00,MG,30
Excl,,Excl,63874117303,63874117303,SUBUTEX,Buprenorphine Hydrochloride,Tablet,Opioid,Buprenorphine,LA,3,8.00,MG,30
Excl,,Excl,63874117403,63874117403,SUBUTEX,Buprenorphine Hydrochloride,Tablet,Opioid,Buprenorphine,LA,3,2.00,MG,30
Excl,,Excl,68258299103,68258299103,BUPRENORPHINE HYDROCHLORIDE,Buprenorphine Hydrochloride,Tablet,Opioid,Buprenorphine,LA,3,8.00,MG,30
Excl,,Excl,68308020230,68308020230,BUPRENORPHINE HYDROCHLORIDE,Buprenorphine Hydrochloride,Tablet,Opioid,Buprenorphine,LA,3,2.00,MG,30
Excl,,Excl,68308020830,68308020830,BUPRENORPHINE HYDROCHLORIDE,Buprenorphine Hydrochloride,Tablet,Opioid,Buprenorphine,LA,3,8.00,MG,30
Excl,,Excl,12496120201,12496120201,SUBOXONE,Buprenorphine/Naloxone,Film,Opioid,Buprenorphine,LA,3,2.00,MG,30
Excl,,Excl,12496120203,12496120203,SUBOXONE,Buprenorphine/Naloxone,Film,Opioid,Buprenorphine,LA,3,2.00,MG,30
Excl,,Excl,12496120401,12496120401,SUBOXONE,Buprenorphine/Naloxone,Film,Opioid,Buprenorphine,LA,3,4.00,MG,30
Excl,,Excl,12496120403,12496120403,SUBOXONE,Buprenorphine/Naloxone,Film,Opioid,Buprenorphine,LA,3,4.00,MG,30
Excl,,Excl,12496120801,12496120801,SUBOXONE,Buprenorphine/Naloxone,Film,Opioid,Buprenorphine,LA,3,8.00,MG,30
Excl,,Excl,12496120803,12496120803,SUBOXONE,Buprenorphine/Naloxone,Film,Opioid,Buprenorphine,LA,3,8.00,MG,30
Excl,,Excl,12496121201,12496121201,SUBOXONE,Buprenorphine/Naloxone,Film,Opioid,Buprenorphine,LA,3,12.00,MG,30
Excl,,Excl,12496121203,12496121203,SUBOXONE,Buprenorphine/Naloxone,Film,Opioid,Buprenorphine,LA,3,12.00,MG,30
Excl,,Excl,54569639900,54569639900,SUBOXONE,Buprenorphine/Naloxone,Film,Opioid,Buprenorphine,LA,3,8.00,MG,30
Excl,,Excl,55700014730,55700014730,SUBOXONE,Buprenorphine/Naloxone,Film,Opioid,Buprenorphine,LA,3,8.00,MG,30
Excl,,Excl,59385001201,59385001201,BUNAVAIL,Buprenorphine/Naloxone,Film,Opioid,Buprenorphine,LA,3,2.10,MG,30
Excl,,Excl,59385001230,59385001230,BUNAVAIL,Buprenorphine/Naloxone,Film,Opioid,Buprenorphine,LA,3,2.10,MG,30
Excl,,Excl,59385001401,59385001401,BUNAVAIL,Buprenorphine/Naloxone,Film,Opioid,Buprenorphine,LA,3,4.20,MG,30
Excl,,Excl,59385001430,59385001430,BUNAVAIL,Buprenorphine/Naloxone,Film,Opioid,Buprenorphine,LA,3,4.20,MG,30
Excl,,Excl,59385001601,59385001601,BUNAVAIL,Buprenorphine/Naloxone,Film,Opioid,Buprenorphine,LA,3,6.30,MG,30
Excl,,Excl,59385001630,59385001630,BUNAVAIL,Buprenorphine/Naloxone,Film,Opioid,Buprenorphine,LA,3,6.30,MG,30
Excl,,Excl,54018813,00054018813,BUPRENORPHINE-NALOXONE,Buprenorphine/Naloxone,Tablet,Opioid,Buprenorphine,LA,3,2.00,MG,30
Excl,,Excl,54018913,00054018913,BUPRENORPHINE-NALOXONE,Buprenorphine/Naloxone,Tablet,Opioid,Buprenorphine,LA,3,8.00,MG,30
Excl,,Excl,93572056,00093572056,BUPRENORPHINE-NALOXONE,Buprenorphine/Naloxone,Tablet,Opioid,Buprenorphine,LA,3,2.00,MG,30
Excl,,Excl,93572156,00093572156,BUPRENORPHINE-NALOXONE,Buprenorphine/Naloxone,Tablet,Opioid,Buprenorphine,LA,3,8.00,MG,30
Excl,,Excl,228315403,00228315403,BUPRENORPHINE-NALOXONE,Buprenorphine/Naloxone,Tablet,Opioid,Buprenorphine,LA,3,2.00,MG,30
Excl,,Excl,228315473,00228315473,BUPRENORPHINE-NALOXONE,Buprenorphine/Naloxone,Tablet,Opioid,Buprenorphine,LA,3,2.00,MG,30
Excl,,Excl,228315503,00228315503,BUPRENORPHINE-NALOXONE,Buprenorphine/Naloxone,Tablet,Opioid,Buprenorphine,LA,3,8.00,MG,30
Excl,,Excl,228315573,00228315573,BUPRENORPHINE-NALOXONE,Buprenorphine/Naloxone,Tablet,Opioid,Buprenorphine,LA,3,8.00,MG,30
Excl,,Excl,406192303,00406192303,BUPRENORPHINE-NALOXONE,Buprenorphine/Naloxone,Tablet,Opioid,Buprenorphine,LA,3,2.00,MG,30
Excl,,Excl,406192403,00406192403,BUPRENORPHINE-NALOXONE,Buprenorphine/Naloxone,Tablet,Opioid,Buprenorphine,LA,3,8.00,MG,30
Excl,,Excl,490005100,00490005100,SUBOXONE,Buprenorphine/Naloxone,Tablet,Opioid,Buprenorphine,LA,3,2.00,MG,30
Excl,,Excl,490005130,00490005130,SUBOXONE,Buprenorphine/Naloxone,Tablet,Opioid,Buprenorphine,LA,3,2.00,MG,30
Excl,,Excl,490005160,00490005160,SUBOXONE,Buprenorphine/Naloxone,Tablet,Opioid,Buprenorphine,LA,3,2.00,MG,30
Excl,,Excl,490005190,00490005190,SUBOXONE,Buprenorphine/Naloxone,Tablet,Opioid,Buprenorphine,LA,3,2.00,MG,30
Excl,,Excl,12496128302,12496128302,SUBOXONE,Buprenorphine/Naloxone,Tablet,Opioid,Buprenorphine,LA,3,2.00,MG,30
Excl,,Excl,12496130602,12496130602,SUBOXONE,Buprenorphine/Naloxone,Tablet,Opioid,Buprenorphine,LA,3,8.00,MG,30
Excl,,Excl,16590066605,16590066605,SUBOXONE,Buprenorphine/Naloxone,Tablet,Opioid,Buprenorphine,LA,3,2.00,MG,30
Excl,,Excl,16590066630,16590066630,SUBOXONE,Buprenorphine/Naloxone,Tablet,Opioid,Buprenorphine,LA,3,2.00,MG,30
Excl,,Excl,16590066705,16590066705,SUBOXONE,Buprenorphine/Naloxone,Tablet,Opioid,Buprenorphine,LA,3,8.00,MG,30
Excl,,Excl,16590066730,16590066730,SUBOXONE,Buprenorphine/Naloxone,Tablet,Opioid,Buprenorphine,LA,3,8.00,MG,30
Excl,,Excl,16590066790,16590066790,SUBOXONE,Buprenorphine/Naloxone,Tablet,Opioid,Buprenorphine,LA,3,8.00,MG,30
Excl,,Excl,23490927003,23490927003,SUBOXONE,Buprenorphine/Naloxone,Tablet,Opioid,Buprenorphine,LA,3,8.00,MG,30
Excl,,Excl,23490927006,23490927006,SUBOXONE,Buprenorphine/Naloxone,Tablet,Opioid,Buprenorphine,LA,3,8.00,MG,30
Excl,,Excl,23490927009,23490927009,SUBOXONE,Buprenorphine/Naloxone,Tablet,Opioid,Buprenorphine,LA,3,8.00,MG,30
Excl,,Excl,35356000407,35356000407,SUBOXONE,Buprenorphine/Naloxone,Tablet,Opioid,Buprenorphine,LA,3,8.00,MG,30
Excl,,Excl,35356000430,35356000430,SUBOXONE,Buprenorphine/Naloxone,Tablet,Opioid,Buprenorphine,LA,3,8.00,MG,30
